hour_of_day,day_of_week,region_code,source_ip_risk,request_count_5m,request_count_1h,principal_type,key_sensitivity,historical_access_rate,failed_auth_ratio,identity_mismatch,unusual_time,region_risk,request_frequency,possibility_of_fraud
7,3,0,0.33382161052629256,0,8,0,0.5944796346755306,0.8780898789482816,0.014325639466695272,6.431027e-10,0.9999332,2.3412174e-09,0.00034332948,2.9297428e-08
22,4,0,0.6242356897055222,8,68,2,0.6220078684813702,0.449206044916954,0.018951643783106268,0.00016861063,1.0,1.8287195e-05,0.00038902377,0.9807744
22,2,0,0.6786818349561826,11,47,2,0.5568927198063236,0.7077110648861714,0.16490149517650868,0.008813653,1.0,0.0076624583,0.9999972,0.99412936
23,3,3,0.9883633836602671,21,114,0,0.8286454697716635,0.10708892349549473,0.652052260884391,1.0,1.0,1.0,1.0,1.0
12,3,0,0.2200551756521577,3,11,0,0.22290402931474207,0.7327163336683392,0.05838608945524643,5.3679946e-11,0.99999994,2.1399835e-10,0.1623448,7.037407e-09
18,3,0,0.39317789619863047,0,16,1,0.5391678098874549,0.5791333642591899,0.006830928955095502,6.019023e-24,1.0,9.9263466e-23,7.0740254e-09,4.3918434e-20
20,2,0,0.08818703617017466,3,15,0,0.24288294866508542,0.5790743093183902,0.09099579224914485,1.3308583e-22,1.0,3.842501e-21,2.0370371e-05,9.150529e-19
1,1,4,0.9288660884135354,13,117,0,0.9752476763360705,0.10567181919706349,0.8879208023725541,1.0,1.0,1.0,0.00044832163,1.0
1,4,4,0.9292198576874848,20,111,1,0.9172962304759882,0.03565822739517867,0.815073388301582,1.0,1.0,1.0,1.0,1.0
21,4,2,0.4827948675104773,8,54,2,0.5659167655374338,0.9897822555402364,0.014098941034719495,9.754211e-06,1.0,2.9446953e-06,0.36849257,0.6501314
1,6,1,0.4702238477875876,3,10,1,0.479558666953051,0.9209460070596802,0.018570637371629492,0.99891776,0.99824166,0.9991211,0.996014,0.99888104
15,4,0,0.3397092620733224,3,12,0,0.31289980502725223,0.7965831809478929,0.010745361017369092,1.02414e-15,1.0,9.1938294e-15,0.0059526567,5.884505e-13
18,1,0,0.26025858589336537,8,71,2,0.43430563685895457,0.8908162308088217,0.260903850479132,0.55617034,1.0,0.12291207,0.0001746294,0.999953
9,5,2,0.4336935592587261,4,58,2,0.5974087115012635,0.6595532548038427,0.058728212290471524,0.8164999,0.9999999,0.5345288,2.8948538e-08,0.99469036
19,5,0,0.07126029181232707,3,12,0,0.42090795858498076,0.9022182166182918,0.04374896154920727,3.1846794e-23,1.0,8.629067e-22,1.7044731e-05,9.247623e-20
5,6,0,0.36022809268503864,3,71,2,0.4836335460740798,0.8653382527036795,0.03467913787010956,0.0014384016,1.0,0.0038471168,1.3382142e-15,0.00062596716
23,2,1,0.5408159996583367,1,13,1,0.32946279848308674,0.8115307818270139,0.09356591574653361,4.727482e-33,1.0,9.524537e-31,4.2811917e-11,4.4430356e-28
4,0,0,0.010935356297876286,3,8,0,0.40675373567769924,0.761336643194112,0.01814583376204353,0.5561132,0.99203765,0.6260129,0.99135953,0.778913
23,4,3,0.9307170051100535,18,136,0,0.9061520508145601,0.14364920438330575,0.9134783463487287,1.0,1.0,1.0,0.9878401,1.0
6,4,2,0.14746385463653092,12,63,2,0.42841582216118945,0.9268821211129193,0.09124410302580252,1.0,1.0,1.0,0.99999696,1.0
18,1,2,0.6473489853374025,7,75,2,0.5277912807277532,0.9671276901563064,0.03381339966357682,0.11271436,1.0,0.011474864,4.2882428e-07,0.9997068
22,1,0,0.11899248850382127,1,14,0,0.24934382467729355,0.6610933925511033,0.05372934670745353,1.7905576e-30,1.0,1.5720226e-28,2.7238994e-10,7.426514e-26
6,6,0,0.2605026551324692,2,14,1,0.27537440309891487,0.7121202649697725,0.08766349560901726,0.00012447781,0.9992418,0.00018953373,0.08763517,0.006967021
17,0,1,0.08128455440099643,1,16,1,0.314064715239796,0.6160755383292392,0.043427809701974386,1.8391154e-20,1.0,2.3926285e-19,7.917866e-07,6.0761644e-17
22,5,4,0.970712785468089,13,135,0,0.941817692876241,0.10866314398192671,0.7766082601255505,1.0,1.0,1.0,1.0880992e-06,1.0
13,2,1,0.19797132149637736,4,11,0,0.5886784688694594,0.8572172500705153,0.17387916785112728,5.0895355e-10,1.0,1.6594371e-09,0.74202704,5.6335644e-08
22,5,3,0.9951535212089081,24,117,1,0.9179663236992829,0.07034797732442977,0.9545564557291905,1.0,1.0,1.0,1.0,1.0
18,0,0,0.16673804519194962,1,11,0,0.49250750610088273,0.8494725866170477,0.021349387383842837,1.8545534e-25,1.0,7.753561e-24,1.4265686e-08,1.02295e-21
10,6,0,0.02261523963334881,4,13,0,0.4013687894032546,0.6946987992121088,0.05013132190698622,3.7659425e-05,0.99999756,7.7231125e-05,0.98054254,0.0018555439
5,0,0,0.3324562579082304,2,21,0,0.23203383561612126,0.6973692363016397,0.09236934489641656,0.10607396,0.989541,0.05796503,0.0057076146,0.6504988
9,6,0,0.07186318933143457,1,13,0,0.27215110211260735,0.8740153116347182,0.09936860703528858,5.4904477e-09,0.99999136,1.9280831e-08,0.002374998,1.0295463e-06
1,3,0,0.08747512099880154,3,13,0,0.29962427270989717,0.7060209588260365,0.11423760195691653,0.9999195,0.99988246,0.9999202,0.9757833,0.9998804
21,3,0,0.2252167109311196,7,54,2,0.6593110319257165,0.9500398741350936,0.30831212247259565,6.902229e-08,1.0,1.4496973e-08,0.0040083057,0.009816197
12,5,0,0.36469204460644294,1,20,1,0.448886801589106,0.8779581362715445,0.13526437673819616,7.449165e-12,0.9999998,3.0658275e-11,3.788159e-05,1.2312929e-08
10,2,0,0.250025220934523,2,11,0,0.585415704795015,0.5340254728402617,0.0728055756331686,6.8546413e-09,0.99999845,1.8212226e-08,0.061371922,6.45624e-07
6,1,0,0.1827642849890607,8,56,2,0.4631541658078441,0.8427022343808993,0.06594726950698884,1.0,1.0,1.0,0.29171643,1.0
12,0,2,0.13840125600419684,5,50,2,0.6878835187389859,0.8472400956881803,0.0017458577296357919,0.06255618,0.9999991,0.0102932155,9.694748e-05,0.9769405
22,1,0,0.1966006696363222,1,14,0,0.524761515241053,0.9471580894543947,0.010549021718409522,1.5264242e-30,1.0,1.3121319e-28,2.57494e-10,6.025151e-26
8,1,0,0.3487313398135575,7,63,2,0.6418401312143417,0.8056404983083981,0.124095010607669,0.9999996,1.0,0.9999989,0.00027533819,0.99999994
11,2,1,0.22507916217400217,3,10,1,0.2148367030389216,0.7217540490970299,0.0900756968832953,4.0227455e-10,0.99999976,1.4501501e-09,0.38036838,3.1428677e-08
10,0,2,0.08342804436471185,8,63,2,0.49607801550367014,0.9132722336447996,0.0963941076216342,1.0,1.0,1.0,0.09003825,1.0
4,4,4,0.8192100809487989,23,121,1,0.9671761528605939,0.023961284823546557,0.8607538722586988,1.0,1.0,1.0,1.0,1.0
15,4,0,0.2578644059849983,1,11,0,0.3927770141906305,0.8007163188181198,0.12632635365680184,1.1744622e-19,1.0,1.5777559e-18,2.8317052e-06,1.1183368e-16
18,5,0,0.21009359038389236,1,11,0,0.4077741366125929,0.8661886252225308,0.0757104459288239,1.9663228e-25,1.0,7.998892e-24,2.3104937e-08,1.068682e-21
23,1,0,0.21073300290254393,2,9,0,0.3699989838385722,0.95680775270223,0.08252550993343724,8.2995136e-35,1.0,3.6477556e-32,4.680691e-11,7.513953e-30
16,3,0,0.2849838879129473,3,16,0,0.32677566808624714,0.7653964955585695,0.06629972251509991,1.0218108e-14,1.0,7.002149e-14,0.0069093425,1.353093e-11
10,4,1,0.18629210199842985,3,13,0,0.35818058597710917,0.5670057851359388,0.14729771943487419,8.248027e-06,0.99999785,1.3930439e-05,0.79242224,0.0006317258
2,1,4,0.846553834099128,24,105,0,0.8221143783038121,0.04450119900314903,0.6905364575325526,1.0,1.0,1.0,1.0,1.0
4,5,0,0.1718875876569538,0,15,0,0.34682385797049853,0.8775473089342237,0.0019644906313464835,4.696363e-05,0.65516436,4.237593e-05,3.210686e-05,0.00046229875
23,6,4,0.8526744050618676,14,111,0,0.8316686777079914,0.4521790876889517,0.8170362032679601,1.0,1.0,1.0,0.9321906,1.0
16,6,0,0.5888072410466686,10,69,2,0.6207494259861994,0.9457325296907079,0.4637337229986884,0.9999999,1.0,0.9999999,0.837938,1.0
12,2,2,0.07415602215413958,8,61,2,0.48090527585382775,0.8332119632641256,0.2013915104883489,0.99999976,1.0,0.9999994,0.2609149,1.0
3,6,0,0.1715597487627931,1,10,1,0.3380523096383894,0.9583973815337731,0.008972732712381666,0.00042483237,0.783206,0.0005276966,0.014815903,0.002765341
18,1,1,0.14380120467374424,2,12,0,0.5734875642372483,0.6754842195410998,0.10485330026163968,3.1720594e-22,1.0,9.1823405e-21,2.606601e-06,1.1197145e-18
2,0,3,0.9966199500450992,15,142,0,0.7308519309578839,0.033504008219810096,0.7829630203938546,1.0,1.0,1.0,3.433053e-07,1.0
6,4,0,0.12531491721040247,0,6,0,0.20725387878927404,0.9845786865501073,0.056609143638840044,8.0531554e-10,0.99977976,3.0694642e-09,0.0005331305,1.8746421e-08
1,5,3,0.854491173686962,19,120,1,0.9727138696597343,0.10317893656854826,0.9699678793518758,1.0,1.0,1.0,0.99999654,1.0
3,4,4,0.8846848243250715,18,131,1,0.8388076511276528,0.10547673220304267,0.6879782940702068,1.0,1.0,1.0,0.97526705,1.0
13,1,0,0.24742891573029854,3,16,0,0.34409645980897,0.7722123190990541,0.045500356841990074,1.2676886e-09,1.0,2.828381e-09,0.13942422,3.5212625e-07
4,5,3,0.800197589647651,22,120,1,0.8149486581925627,0.18467369461771638,0.5681752244353802,1.0,1.0,1.0,1.0,1.0
6,3,2,0.18470938966205874,7,61,2,0.4594971044806543,0.9380173236768123,0.17905471100436754,1.0,1.0,1.0,0.0037646878,1.0
22,0,1,0.11961052586177705,4,10,0,0.49565019234939445,0.6289075705034188,0.04932460736303589,3.5174532e-28,1.0,3.1564097e-26,1.5123244e-06,3.8728542e-24
16,3,0,0.06556951162355998,1,11,1,0.35406294531675264,0.38952901340411844,0.05903105179895735,5.3431935e-22,1.0,9.1864045e-21,5.0157695e-07,9.019289e-19
23,1,4,0.749856746526785,19,118,0,0.7650208866494631,0.07529624657788817,0.6652429924166976,1.0,1.0,1.0,0.9999999,1.0
7,4,0,0.20592238735687593,2,4,1,0.4533813122823179,0.7433667410753685,0.11384272710249321,1.5193907e-09,0.9999503,4.8097064e-09,0.13770317,1.7763487e-08
18,0,0,0.1919586701438755,4,58,2,0.5353031854650505,0.8827994051865986,0.03291774536890137,5.5658556e-10,1.0,4.7326056e-11,1.9198914e-09,7.791367e-06
17,1,0,0.28358959572813736,0,5,0,0.4592557508639683,0.6407251123971418,0.2900998420311972,1.975936e-29,1.0,4.502945e-27,1.7701294e-11,2.7281786e-25
10,0,0,0.16261947658637305,2,10,0,0.5658808287324208,0.5326581156395622,0.045876118754642654,1.3736137e-09,0.9999988,4.1892076e-09,0.040295757,1.1069288e-07
6,6,0,0.14553871030865764,4,10,0,0.3519367620445474,0.8050633493350368,0.04541431259802806,0.1630263,0.9994417,0.30741698,0.99791086,0.6314908
2,1,0,0.30587812131539643,3,11,0,0.4124462679114988,0.6462436223745025,0.05164852431114678,0.99941146,0.99736685,0.9996207,0.98800325,0.9996193
3,5,0,0.313983277301906,2,18,0,0.24745303130251353,0.796246264167334,0.002369198103328627,0.9283788,0.99266905,0.9282954,0.08029582,0.97791654
0,4,3,0.6782998709896646,24,120,1,0.8839947987446688,0.023075817122071775,0.7264819491805734,1.0,1.0,1.0,1.0,1.0
4,0,2,0.4163855596788261,13,64,2,0.5470559526252246,0.8526327127117052,0.07188270818027043,1.0,1.0,1.0,0.99999976,1.0
19,3,0,0.11866601404848537,2,10,0,0.35763264106388487,0.8203149473276543,0.1438880770410898,2.3482855e-26,1.0,1.0630571e-24,9.586305e-08,1.2655324e-22
23,2,0,0.04715596446252194,2,16,0,0.27118891914474397,0.824380536468965,0.014871234056754388,3.7290698e-29,1.0,2.2182364e-27,1.094552e-08,1.1138789e-24
11,6,2,0.23635033471576,11,59,2,0.5143982045314779,0.6700067322665958,0.0035584264280144515,1.0,1.0,1.0,0.999988,1.0
4,6,0,0.14207619531179788,2,15,0,0.23618323661087803,0.8079471132686986,0.06676435093872776,0.34792763,0.9693531,0.39045605,0.22187535,0.86265486
11,0,0,0.21590355584557172,4,6,0,0.5558775582135276,0.842479080775733,0.027359091779844982,2.876417e-11,0.9999999,1.6013711e-10,0.5851381,1.0812158e-09
7,2,0,0.07645758531035475,2,11,0,0.5298244929804861,0.6787466427589299,0.07913769048676711,9.3740724e-05,0.9998246,0.000121501565,0.4254501,0.0024397422
23,5,0,0.059314389004534264,3,11,0,0.5934248743055237,0.8787373759754544,0.07454407806886933,1.847501e-31,1.0,1.7169849e-29,1.5245762e-08,4.381319e-27
6,6,1,0.061342003045572704,2,12,1,0.5670980131534191,0.7466445645984383,0.055923893222737955,0.000113582064,0.99950475,0.0002051033,0.2616606,0.0051832893
5,5,0,0.1396561955706066,1,16,0,0.34424740382825714,0.6435646413547171,0.015652301176020587,0.0013354535,0.9732793,0.0011567269,0.0018073829,0.03359619
3,5,0,0.09096099300722081,2,11,0,0.3629046174522861,0.8482874548144057,0.04065024680254739,0.6057431,0.94592816,0.68788475,0.69490767,0.8921831
18,3,0,0.09274049825597537,1,13,1,0.2154774834192904,0.518881340349803,0.024726799933858127,2.3478133e-24,1.0,5.075203e-23,7.5710496e-08,1.0052948e-20
17,5,0,0.08715307014486498,2,12,1,0.5568897326692471,0.7547291379399652,0.06477242590937213,1.2041348e-21,1.0,1.8586944e-20,8.221061e-06,1.6907103e-18
10,5,0,0.02346164144197153,3,15,1,0.3454656925287396,0.8197749774142621,0.06343071743810241,1.7025849e-07,0.9999976,3.4037225e-07,0.46605432,1.7715913e-05
6,2,0,0.17413230801686078,2,9,0,0.5217013839251903,0.7719589665431954,0.058713393532322904,0.0004909407,0.9993007,0.0006179782,0.6594329,0.0061076703
20,1,0,0.046571929495495525,2,22,0,0.3715683335072748,0.8777412572715074,0.09437716192059914,4.9527478e-20,1.0,6.3584143e-19,4.5705447e-06,9.760416e-16
17,3,2,0.08142348336851486,8,55,2,0.6278812582583229,0.8668902111616433,0.2152854171379166,0.740688,1.0,0.49989772,0.722638,0.99997216
9,1,0,0.34471204936283456,1,8,0,0.5488902048817419,0.8730975805071777,0.07454734933314786,4.194968e-11,0.9999974,1.6471538e-10,0.0019475337,2.4968139e-09
13,5,0,0.2697192975234808,3,12,0,0.47135441240192544,0.4085669925376488,0.04004555937845987,8.719428e-12,1.0,4.0809987e-11,0.086061366,2.292403e-09
19,2,0,0.279731177393452,1,16,0,0.38270807332936607,0.914322024440102,0.03778175505363422,1.3093802e-23,1.0,2.879579e-22,7.806212e-08,8.9224056e-20
2,0,4,0.9383750386605751,17,119,0,0.7943774248473863,0.020039759784947538,0.9335554541207395,1.0,1.0,1.0,0.9982778,1.0
0,3,1,0.10720532480204892,0,11,0,0.537680201040367,0.46690715045188025,0.36641030712040135,0.022485303,0.9834782,0.04351927,0.0003771348,0.015549581
18,2,0,0.06391705170880249,4,14,0,0.5827426533421205,0.6306075357138224,0.0554631058057956,1.0454305e-17,1.0,1.3165269e-16,0.008578836,1.7470232e-14
15,1,0,0.07983027451337232,1,12,0,0.31688785246441403,0.7637745876096771,0.11813548967403008,3.667789e-19,1.0,4.4831014e-18,2.6835912e-06,3.3543627e-16
21,3,0,0.15267232570793443,1,10,0,0.24911137193980584,0.9008546975700852,0.1231539686084781,6.831146e-32,1.0,1.658316e-29,7.975834e-11,3.1190278e-27
2,3,3,0.9218956838556924,16,120,1,0.7469790631223604,0.21191272708506043,0.679334547833821,1.0,1.0,1.0,0.65009993,1.0
4,0,4,0.6430953248172027,13,123,0,0.8538434684407975,0.04005397103706509,0.14430223419816612,1.0,1.0,1.0,1.0470652e-05,1.0
1,3,3,0.9078119416216478,14,127,0,0.9956443598047986,0.03444360604372019,0.9469763791726038,1.0,1.0,1.0,5.0772815e-05,1.0
19,4,0,0.26937592095110185,3,18,0,0.25511441117418765,0.7274232953444604,0.04486886620872256,7.864663e-19,1.0,1.1026919e-17,0.0002873457,5.0155023e-15
12,1,0,0.043493733736765114,2,12,0,0.5699185349638431,0.7333884614520788,0.07275545475105344,4.225473e-12,0.9999999,1.8925125e-11,0.005716045,9.847775e-10
20,2,1,0.24054001802586492,1,9,0,0.20545493338253343,0.8130012597596781,0.013387619595966195,1.5927858e-30,1.0,3.9361761e-28,1.8660178e-10,5.44491e-26
17,6,0,0.12842391417910776,3,10,0,0.5762560608389342,0.7682319770908739,0.008162220560341727,5.317454e-21,1.0,1.0427171e-19,0.000102916674,5.980864e-18
18,5,0,0.14446299227708526,0,12,0,0.5217970170036834,0.7891342210434908,0.004740391790770885,1.7391098e-26,1.0,1.1046626e-24,8.3404506e-10,1.8213521e-22
17,3,2,0.39791493379948517,5,63,2,0.6166980276197128,0.990776429032975,0.28627294606743936,2.9586874e-05,0.99999994,2.4134565e-06,4.2141572e-08,0.32399115
18,5,2,0.3758905543005112,10,63,2,0.5689861602498321,0.9673123191687205,0.15073969652885977,0.9999495,1.0,0.9999379,0.989521,1.0
9,6,0,0.2648050712247418,1,12,0,0.4751531494397853,0.2615299445400777,0.0026507020533392037,1.2859638e-08,0.9999918,4.476451e-08,0.004185005,2.4621443e-06
14,6,0,0.03899546043401073,5,10,0,0.5703586994105223,0.8986554399229779,0.021319513126650463,3.588083e-12,1.0,2.0379858e-11,0.86580586,4.0984816e-10
3,4,0,0.19071960853060385,1,13,0,0.28514106756813234,0.5924063607498951,0.11169645356045912,0.05431449,0.7230804,0.04195367,0.010960942,0.24650879
12,6,0,0.059669679997835526,4,10,0,0.3988944568113674,0.8816900452431934,0.1392245959977213,3.2504877e-10,0.9999999,1.2419179e-09,0.7707268,2.4204484e-08
19,2,0,0.6345399096562062,11,54,2,0.6286603911037925,0.968105657515595,0.2587914703134,0.9872601,1.0,0.97690386,0.99997634,0.99999887
1,4,0,0.5018385376559036,4,65,2,0.6205388246818968,0.9840330251890734,0.015271283308842183,0.53844726,1.0,0.8794589,3.3910303e-12,0.04042834
16,6,1,0.14641858935639637,1,16,0,0.363914661495023,0.6896704911754519,0.029983170221401737,2.5031728e-18,1.0,3.7873692e-17,5.004263e-06,1.0697992e-14
14,5,0,0.12466433596245054,3,15,1,0.5438846501346968,0.6196525833509068,0.032934983422661504,9.796166e-13,1.0,4.655873e-12,0.047392536,5.064387e-10
11,1,1,0.2265519948053716,4,8,1,0.5274093948526551,0.8697922480252281,0.2536251657593232,1.9259871e-09,0.99999976,6.591931e-09,0.86975783,7.039236e-08
14,2,1,0.04514652334714104,2,9,0,0.41923528141636257,0.6267249625530551,0.014047729958604253,2.1619082e-17,1.0,2.9850256e-16,0.00015440519,1.0755607e-14
0,2,4,0.7877618213180222,18,127,1,0.8520417987900728,0.08823236850530523,0.7766287470404143,1.0,1.0,1.0,0.99174446,1.0
7,1,0,0.019882385629225882,0,15,0,0.30779553544497146,0.8764321008982442,0.10736823627232693,3.033526e-08,0.9996701,7.4674176e-08,4.5843008e-05,2.4276558e-06
8,4,1,0.11576446476063955,2,12,1,0.2546158108254465,0.958341721830849,0.0012266494290934038,3.255176e-07,0.9999698,6.6140046e-07,0.1658951,1.6699432e-05
17,0,0,0.3259313633792994,0,11,1,0.29717871665497014,0.9615100797462082,0.03443150707191785,4.891914e-26,1.0,2.9661032e-24,8.8113555e-10,3.259818e-22
23,5,4,0.967490220707064,21,106,0,0.8499215264228247,0.17418291551704965,0.7099890437877682,1.0,1.0,1.0,1.0,1.0
13,5,0,0.1099368852672519,2,15,0,0.4667531307751294,0.5116664019998967,0.007132243236493464,5.5702253e-12,1.0,2.4636921e-11,0.004949672,3.2291394e-09
8,4,0,0.0708726946744804,0,16,0,0.5255336085210769,0.7479160221307779,0.014827942812693349,8.03098e-09,0.99993545,3.1732622e-08,3.9769784e-05,2.185154e-06
4,0,0,0.053033817900711586,1,12,0,0.37574916389562674,0.5403735708105813,0.04821810867793851,0.0025154552,0.95787454,0.0019231893,0.013023959,0.02130385
18,6,0,0.3125225040425994,3,6,0,0.42843003485137854,0.7642137894649531,0.03418478186646199,1.7631106e-26,1.0,1.2174535e-24,5.529972e-07,5.0168404e-23
16,1,1,0.07873642612644524,2,9,0,0.5351100646321015,0.9128544872564277,0.0226834895403839,3.1603213e-21,1.0,7.982813e-20,5.111159e-06,4.1864004e-18
9,6,0,0.2468412637619454,5,67,2,0.605769199247241,0.8865798730186714,0.3852637550115575,0.9757119,1.0,0.9391189,2.388824e-09,0.99887806
4,1,0,0.16842059003962484,4,12,0,0.3455337996309907,0.6916313524565518,0.07731010836999162,0.9963837,0.99833596,0.9981961,0.9989892,0.9989984
6,2,0,0.01988070468653075,1,16,0,0.5678778856486373,0.43541701823827245,0.18485485853991482,0.00019965164,0.9975974,0.00021747328,0.0016838281,0.008152342
3,0,0,0.1634679953292932,8,54,2,0.6112481219189773,0.7312718196214294,0.37220886616624865,1.0,1.0,1.0,0.35699627,1.0
0,0,0,0.2142151835252381,0,12,0,0.4840037641806028,0.919128433793786,0.08396487035221546,0.0008918105,0.93762743,0.0010687954,2.5216352e-05,0.00030809068
14,2,0,0.12462393552639188,2,10,0,0.5564537264727603,0.9542647533243954,0.04540758923388619,3.608629e-17,1.0,3.796542e-16,0.00017993944,1.4627332e-14
16,6,0,0.4349563364413364,3,11,0,0.5873895504338102,0.7608568986705774,0.003839293497753297,3.515365e-18,1.0,4.8412555e-17,0.0011075062,3.146365e-15
3,6,0,0.07970069435476962,1,14,0,0.5444049886274747,0.9112436732449561,0.00896174290793116,0.0389254,0.6459728,0.028186394,0.0072243772,0.17274027
3,4,4,0.9100182277890269,28,119,0,0.7478632982819885,0.22805621406389856,0.9920284567891517,1.0,1.0,1.0,1.0,1.0
18,1,0,0.45170484623224977,5,13,0,0.3525307074551997,0.5473147076493187,0.019564343791269295,1.6351849e-16,1.0,1.9568596e-15,0.15147702,1.7483074e-13
18,6,0,0.05257625609770932,4,7,0,0.40215313178834333,0.9035385812937655,0.11194352453816969,4.3685756e-24,1.0,1.5584735e-22,6.07749e-05,5.1581408e-21
8,3,0,0.16890560400027851,1,12,0,0.21271878226751537,0.6873500162775392,0.059264402416450326,1.0877448e-07,0.9999639,2.5686498e-07,0.0062162383,1.0052205e-05
22,0,1,0.33181249545235036,0,13,1,0.41904724748406097,0.5396946673413382,0.04793750532213563,5.4105823e-33,1.0,1.45532445e-30,2.579076e-12,6.7189446e-28
22,6,0,0.2691256920332566,3,17,0,0.5323401628549942,0.756738555307744,0.0361255389772733,7.960715e-25,1.0,2.7980928e-23,4.4059257e-06,1.4943806e-20
13,0,0,0.2571088718066557,2,11,0,0.3168602715553862,0.7798704622966873,0.2340611089142874,2.5422578e-14,1.0,1.9840339e-13,0.0012832402,8.957397e-12
16,2,0,0.26937017918775086,3,13,1,0.2575179470721606,0.8245402979884262,0.10595108555016518,1.4602388e-17,1.0,1.6351413e-16,0.0018938016,1.260825e-14
9,1,0,0.055557320920064726,5,14,0,0.2414292133433532,0.3341430356716411,0.036011184676340374,0.08168031,0.999993,0.11953008,0.99935776,0.574259
2,0,0,0.44238154314898154,0,12,0,0.4351135347684353,0.8252643207274637,0.06942740921949152,0.0011843691,0.34043708,0.00067226955,8.068654e-05,0.0017667556
16,5,0,0.4253606242071279,3,10,0,0.4834073039131986,0.7867545634055089,0.038384426535222865,6.2300814e-19,1.0,9.534052e-18,0.0005348914,4.833637e-16
4,3,0,0.5594258493018059,11,75,2,0.6495916764057974,0.95460998162881,0.00020867350774359544,1.0,1.0,1.0,0.55476975,1.0
3,4,4,0.8828132497336416,31,108,1,0.8631087714818877,0.14930813211904148,0.9264267504263738,1.0,1.0,1.0,1.0,1.0
5,1,0,0.20571630560234677,0,7,1,0.500265165467173,0.60834121965486,0.0039841651882344,5.493855e-08,0.99875176,1.1236486e-07,0.00091386936,8.5512744e-07
3,0,0,0.17022649582972735,3,11,1,0.28056093503248913,0.7129336464024371,0.03745366578682174,0.7520966,0.97198105,0.7406236,0.974216,0.8707862
18,0,0,0.1692503611603074,6,63,2,0.49006724073008506,0.5673068230235752,0.33254360263490396,4.1007403e-05,1.0,2.333247e-06,1.3753468e-06,0.3965694
